field,quad,subquad,raedge1,raedge2,decedge1,decedge2
2,0,0,35.255254116626354,43.335152557558395,83.00049953091614,84.60593820880254
2,0,1,30.99574968678529,39.67733025526567,84.14649023048449,85.80908020712766
2,0,2,45.318473480306444,56.6543844664427,83.3325532752156,84.73235948923767
2,0,3,42.946655774944475,56.90943088328421,84.54803266379216,85.97263115164863
2,1,0,24.71594287235466,33.11699029706041,85.24632181061523,86.98294293056586
2,1,1,14.88197282592159,18.80810346249097,86.25425021087604,88.0680962078571
2,1,2,39.218878860330456,57.40225755622343,85.75052179349687,87.21446841590739
2,1,3,32.63145365410408,58.70240866833723,86.91943788433534,88.45383157438015
2,2,0,56.07661402677587,69.90105014865516,83.4442049921213,84.57030308830491
2,2,1,56.14186312292741,73.97863071533038,84.68441144380148,85.76307772042679
2,2,2,66.80576784451864,81.78472431600504,83.32192322773795,84.14459365246297
2,2,3,69.28376162091449,88.30559636043226,84.53473060825728,85.2298489381513
2,3,0,56.250970221043076,81.19020502050643,85.92673546815669,86.91888019843232
2,3,1,56.437447789388955,96.34305774531046,87.16671857881094,87.96942892068263
2,3,2,73.16432291326537,98.45044562611685,85.73307176176849,86.2182011335866
2,3,3,79.9984380848647,114.75682060256523,86.89514773146661,87.01159317006496
3,0,0,74.61015299328287,82.71024203630112,83.07026544383369,84.67992984033428
3,0,1,70.24159593437437,78.9068666581056,84.21331917598138,85.88121055379222
3,0,2,84.76932079811102,96.21866041661406,83.40744064396625,84.81017360576178
3,0,3,82.31936688269867,96.45147923778276,84.62185298628611,86.05045337534678
3,1,0,63.77682096228957,72.01946262743733,85.30807505932809,87.05119490261914
3,1,1,53.628420370867815,56.79907662388409,86.30676042021925,88.12431409464867
3,1,2,78.44460545610102,96.91110500888395,85.82244977715469,87.29255984591717
3,1,3,71.53860094816771,98.1622577345032,86.98735489486472,88.53221663239583
3,2,0,95.65113554716687,109.66065602121917,83.52195987802858,84.64767433918155
3,2,1,95.69916747369655,113.8447654801758,84.76214943901697,85.83948364417633
3,2,2,106.50844553745836,121.69133232749908,83.39977174089928,84.21799247148151
3,2,3,109.03379141825576,128.3707190988166,84.61221616569836,85.29974288582356
3,3,0,95.77797995456645,121.31869530800867,86.00451325160385,86.9927226079225
3,3,1,95.91504435849158,137.26498657453072,87.24458182783418,88.03377112183246
3,3,2,113.01230282357295,138.8070991305384,85.80973948218315,86.2808291336868
3,3,3,120.09400910328965,155.61003370036883,86.9695179706375,87.05842561740138
4,0,0,114.5547785121599,122.76917332121172,83.14007683463394,84.7487085508673
4,0,1,110.13751516729938,118.94179621745052,84.2831837505776,85.95072909312022
4,0,2,124.82284385122465,136.4567684611875,83.47566914633182,84.87404478852585
4,0,3,122.37171912467097,136.7949931710378,84.69071487191191,86.11422879464249
4,1,0,103.5811460187399,111.95278977476737,85.3767753869146,87.12069955632977
4,1,1,93.21108812768733,96.15956236995773,86.37276095592722,88.19155129490662
4,1,2,118.48253720258289,137.48043306056667,85.891329175738,87.35516345559599
4,1,3,111.46023681027482,139.36021018519173,87.05685662022907,88.594074397072
4,2,0,135.8274598486626,150.04692832287412,83.58520637051653,84.70212024951206
4,2,1,135.93658286283252,154.4188319239167,84.82536825464149,85.89058706489826
4,2,2,146.77971596363238,162.14645434004842,83.45652377171174,84.26225637140332
4,2,3,149.41057802602992,169.00778345641498,84.6671314308573,85.33741322659647
4,3,0,136.10955872434477,162.27022998046098,86.06856812317909,87.03797616700342
4,3,1,136.4405695196172,179.0763784047697,87.3086451427727,88.06210338790048
4,3,2,153.57008514276362,179.7302631988444,85.86233248556272,86.30775294233949
4,3,3,161.01878087885055,196.8962992197794,87.01592127117725,87.06523643297776
5,0,0,154.99239867199537,163.3856072532282,83.18251335363674,84.78402357827814
5,0,1,150.6182029813304,159.6912211836086,84.3288784063889,85.9892176003905
5,0,2,165.34003846546685,177.16351518793186,83.5092816028424,84.89621539260911
5,0,3,162.97934002453056,177.7121564184212,84.72639162144922,86.13585255881884
5,1,0,144.0784121227301,152.85735580375334,85.42725909388746,87.16518611678973
5,1,1,133.67704856119107,137.13659238702354,86.4285608099059,88.24561398426961
5,1,2,159.19886897456547,178.78331265667106,85.93101453068279,87.37701529720364
5,1,3,152.33874930540878,181.79756765570085,87.10172050917873,88.6132999849097
5,2,0,176.39659975424627,190.7678219154083,83.60906920865204,84.71107234890421
5,2,1,176.62948831799025,195.3381307912823,84.84900445760569,85.8946919297337
5,2,2,187.368896855285,202.82086437109285,83.46907444669922,84.25818545061755
5,2,3,190.12604796371394,209.81194288649857,84.67676835679397,85.32588895752006
5,3,0,177.02027039829971,203.53266347487775,86.09139244383282,87.03249065448475
5,3,1,177.74953505931407,220.83521489053385,87.33082281869652,88.03853830741129
5,3,2,194.49371111499832,220.68328728124467,85.86661045854902,86.28400021346393
5,3,3,202.27467637674303,237.8882938246765,87.01180381108247,87.02543884217012
6,0,0,196.07886807012665,204.60250688961284,83.18450253231279,84.77807503603823
6,0,1,191.79071045357045,201.08295587990034,84.33471411618672,85.98645363179676
6,0,2,206.44327535330152,218.358522312162,83.50171251024496,84.87798834543099
6,0,3,204.19052618716196,219.07856239271823,84.72082211222774,86.11701443036995
6,1,0,185.37873885717778,194.57738306311126,85.4389562629141,87.16819663237264
6,1,1,175.11585531562352,179.43731016443073,86.44918219649662,88.2623989797302
6,1,2,200.59357406323602,220.49210177294913,85.92854269423886,87.35648235570439
6,1,3,194.03491998584158,224.38400206961708,87.10523738290037,88.58967136917522
6,2,0,217.47830335633813,231.8769466451587,83.59150482166382,84.6817058222304
6,2,1,217.81636565317893,236.54696338133775,84.83124166638213,85.86198109192361
6,2,2,228.40372858835767,243.82220749415333,83.44231233381997,84.22030560038479
6,2,3,231.2356827097256,250.8358643091884,84.64789298259821,85.28392640817083
6,3,0,218.37423363218966,244.84106074883772,86.07290785851131,86.99423946929087
6,3,1,219.42233861146084,262.09679710224543,87.31130109048054,87.99163840143599
6,3,2,235.69679886396872,261.66002616964187,85.83454083321529,86.23752420958448
6,3,3,243.59477007908032,278.66153536850254,86.97432051256752,86.97464370701216
7,0,0,239.80149315861698,247.9311229177723,83.07186695753938,84.6797548659059
7,0,1,235.4505277570878,244.16389646206952,84.21558862672164,85.88159612389299
7,0,2,249.96620150744383,261.4385600498422,83.40705947438475,84.80737733212739
7,0,3,247.53892864763532,261.7090965591527,84.62176220689919,86.04741574161663
7,1,0,229.02068510854775,237.3374227820583,85.3107303205939,87.05226845225062
7,1,1,218.89596795421977,222.21015435120248,86.31085831341076,88.12771590492936
7,1,2,243.70706870183415,262.2355305098772,85.8226518500303,87.28947040539899
7,1,3,236.8523555504103,263.64756692805463,86.98851783673362,88.52869917022554
7,2,0,260.84246142405743,274.8686470009967,83.51866896678361,84.64180266136287
7,2,1,260.91564503368375,279.0830478121371,84.75918872614668,85.8331152086551
7,2,2,271.6950868931716,286.8803673850506,83.39419404952478,84.20964449172287
7,2,3,274.2414019436931,293.57319157470886,84.60646143425318,85.29052328903235
7,3,0,261.0358495322088,286.59435947254184,86.00187351969475,86.98590638829211
